pid,url,title,petitioner,suburb,close_date,signatures,status,active_transport_any,cycling,pedestrian,traffic_calming,speed_limit,pedestrian_crossing,road_safety,active_transport_general,parking,traffic_congestion,road_upgrade,public_transport,parks_green_space,trees_vegetation,flooding_drainage,development_planning,community_facilities,dogs_animals,noise_amenity,petition_body_excerpt,council_response_excerpt
1006,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1006,Registration and curfew of cats,Stephen Boyle,Inala,"Mon, 16 Aug 2021",101,closed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,"Residents draw to the attention of Unregistered cats that are hunting and killing native birds, possums and other wildlife in the greater Brisbane area. Your petitioners therefore request that ALL CATS be registered and kept indoors between the hours of 5pm and 6am.","Brisbane is Australia’s most biodiverse capital city with a higher diversity of native plants and wildlife. Recognising this diversity, Council has implemented programs that work to protect the natural environment and native animals. Council programs such as invasive species management, including fe"
1007,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1007,Repairs to Nundah Criterium Circuit,Kim Flesser,Nudgee,"Sun, 21 Mar 2021",742,closed,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Residents draw to the attention of Council the poor state of the repairs that have been recently done to the surface of the Nundah Criterium Cycle Racing Circuit at Hedley Avenue Nundah. Cyclists are appreciative of the Council’s recent repairs to track surface of the Nundah Criterium Circuit at Hedley Ave Nundah. Unfortunately some of the repairs are of poor quality. There are now very rough sect,Council is committed to providing quality public open spaces throughout the city and has investigated your request. There were unforeseen issues encountered with underground water in some sections of track repair works and this has affected the smoothness of the asphalt finish in these sections. Cou
1008,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1008,Proposed Yellow and White lines Woongarra Street,Amber Dempsey,The Gap,"Tue, 30 Mar 2021",33,closed,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"Stop the proposed implementation of solid yellow and white lines for 102 meters on Woongarra Street, effectively making half the street no parking at any time. After an agreement was made with Councillor Toomey that if the parking was permanent parking, there would be no installation of yellow lines. The decision to implement the lines has financial implications to all residents affected and a mor",Your petition has been investigated and it was considered by Council at its meeting held on 7 September 2021. It was decided that the petitioners be advised of the information below. Your request for no parking lines to not be implemented has been noted. Council was made aware of concerns with visib
1009,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1009,Controlling plastic and other waste,Brian Stickland,Carseldine,"Fri, 20 Aug 2021",23,closed,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,"Residents draw to the attention of ... Frequent plastic and other packaging waste going into our environment from Carseldine retailers at Homemakers Shopping Centre (c/o of Gympie and Zillmere Roads, Carseldine) unpacking their showroom stock. We need shop owners to pay for a fence to block the packaging material from getting into our green space and then into Cabbage Tree Creek and then ultimatel","Council is dedicated to ensuring Brisbane remains a clean, green and sustainable city for residents and visitors to enjoy. Illegal dumping or littering can have serious consequences for the environment, particularly, if these materials enter waterways. Council heavily invests in managing and maintai"
1010,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1010,Toilets at Hardcastle Park near Hawthorne Ferry Terminal,Michelle Smidt,Balmoral,"Sat, 22 May 2021",44,closed,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,"Residents draw to the attention of local Councillors and the Lord Mayor the critical lack of toilet facilities at the heavily used and trafficked area at Hardcastle Park and the Hawthorne Ferry Terminal Stop. The provision of toilets are of urgent importance to the many families and children who visit this park, and the lack of which causes hygiene issues and limits the park's full use. In additio","Thank you for your petition requesting Council install public toilets at Hardcastle Park, Hawthorne, near the Hawthorne ferry terminal. Through the Brisbane City Plan 2014 (City Plan), Council takes a carefully planned approach to acquiring and developing new parks and improving existing parks. This"
1011,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1011,Fairfield Library Extended Opening Hours,Nicole Johnston,Fairfield,"Fri, 30 Apr 2021",137,closed,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,"Residents draw to the attention of Council five years of inaction since our community petitioned to increase Fairfield Library's opening houses to seven days per week. While all libraries have received extended hours on Saturday (Fairfield Library was already open on Saturdays), Fairfield Library still remains closed on Sundays and Mondays despite being located in a busy shopping centre and commun","Fairfield Library is currently open 40 hours per week, including 9am to 4pm on Saturdays and until 7pm on Thursdays. Council remains committed to ensuring residents have opportunities to visit libraires at a time that suits their needs, providing a balance of opening hours across weekdays and weeken"
1012,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1012,Upgrade Wynnum Road crossing,Lauren Watson,Tingalpa,"Thu, 01 Apr 2021",121,closed,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"Residents draw to the attention of Wynnum Road Crossing. At present the traffic lights are not providing a safe passage for students at Tingalpa State School and members of the public when crossing the road. Your petitioners therefore request Council investigate traffic calming measures along Wynnum Road, and consider upgrading the school zone, to ensure safety of the students at Tingalpa State Sc",The 40 km/h school zone has been in place along the Wynnum Road frontage of Tingalpa State School (TSS) since 2015. School zones are designed to help to raise the awareness of motorists to the presence of children and to drive with care. Council also identified improvements to the signage within thi
1013,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1013,Make Pinjarra Road Safe,Allana Allman,Pinjarra Hills,"Tue, 25 May 2021",14,closed,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Pinjarra Road (Pinjarra Hills, Brisbane, Qld) is currently used as a shortcut to bypass the main road. Unfortunately, the street is rural, and is not set up to allow for the safe movement of pedestrians at all, let alone considering the speeds of the drivers that travel along it. There have been many times where local residents have almost been hit by speeding drivers (both on foot and in their ve","Council has completed an onsite investigation and considered your request. Each local Councillor decides which new footpath projects are funded from their Suburban Enhancement Fund, following consultation with adjacent property owners. In the 2020-21 financial year, $14.68 million has been distribut"
1014,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1014,Pregnancy Parking,Sophie Pasinski,Wellington Point,"Sat, 26 Jun 2021",8,closed,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,"I believe that in every public carpark (this includes shopping centres, hospitals and sporting events), there should be an option for a pregnant parking bay. This should be evident if the mother is in her last stages of her pregnancy as it can be difficult to get around and to have a carpark (the size of the parents with prams) will allow for pregnant mother's plenty of room to comfortably get in ","Thank you for your petition requesting that Council implement a requirement for larger-sized parking spaces for pregnant mothers to be provided in all publicly accessible car parks, including car parks at shopping centres, hospitals and sporting events. Council has responsibility for ensuring that n"
1015,https://epetitions.brisbane.qld.gov.au/petition/view/pid/1015,Peebo and Dagwood Place,Cr Jared Cassidy,Sandgate,"Thu, 11 Mar 2021",2262,closed,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"We the undersigned support the naming of the new playground on the Sandgate Foreshore at the end of 5th Ave Sandgate, Peebo and Dagwood Place. Peebo (Peter Bissell) and Dagwood (David Bissell) were Brisbane’s favourite clowns and identical twins, with their partnership stemming back to many years spent in hospital wards, both living with cystic fibrosis and both being the beneficiaries of lung tra","Thank you for your petition requesting Council name the playground in Sandgate Foreshores Park, Sandgate, at the end of Fifth Avenue, as ‘Peebo and Dagwood Place’. Council has completed an onsite investigation and considered your request. Council places great importance on the matter of park naming "
